-0.08	58.49
-0.09	69.01
-0.06	74.92
-0.05	77.50
0.04	230.65
0.06	238.59
0.12	251.13
0.10	262.39
0.04	334.54
0.04	24.16
-0.11	56.07
-0.14	66.02
0.04	197.52
-0.04	202.13
0.07	221.31
0.09	247.87
0.12	257.09
0.04	330.31
0.04	29.15
-0.12	54.99
-0.03	59.60
-0.08	86.91
0.10	229.91
0.06	253.72
0.12	263.13
0.04	20.29
0.04	24.71
-0.09	51.64
-0.07	52.19
-0.10	54.59
-0.12	67.13
-0.06	94.80
0.05	226.66
0.06	240.68
0.06	256.17
0.11	263.55
-0.04	321.64
-0.14	45.95
-0.10	59.23
-0.14	84.51
-0.04	102.96
-0.04	207.77
0.10	220.50
0.11	253.16
0.10	267.74
0.05	269.40
0.04	269.77
0.04	16.41
0.04	21.02
0.04	25.45
0.04	29.88
-0.11	42.79
-0.05	51.09
-0.07	63.07
-0.07	76.17
-0.18	95.90
0.06	218.91
0.06	237.54
0.07	242.15
0.04	271.66
0.04	21.40
0.04	25.83
-0.11	39.86
-0.09	68.09
-0.04	94.84
-0.26	104.99
0.07	213.31
0.04	244.31
0.06	245.23
0.10	248.00
0.06	282.50
0.04	322.91
0.04	26.00
0.03	30.61
-0.17	37.62
-0.14	64.92
-0.08	82.07
0.04	199.36
0.07	240.68
0.06	244.18
0.04	349.86
0.04	21.96
0.04	26.39
-0.06	41.70
-0.07	43.73
-0.10	62.92
-0.10	85.25
-0.04	204.45
-0.04	208.88
0.10	231.39
0.12	247.81
0.05	266.82
-0.09	50.35
-0.08	68.79
-0.13	111.76
-0.04	204.53
0.04	207.85
0.05	214.86
0.04	233.30
0.07	249.71
0.06	256.17
0.04	269.63
0.04	1.84
0.04	17.89
0.04	22.32
0.04	26.74
0.04	31.35
-0.08	41.31
-0.07	74.88
-0.14	80.04
-0.04	84.65
0.11	226.29
0.06	232.19
0.04	246.76
0.06	272.03
0.03	22.70
-0.13	52.40
-0.16	65.32
-0.08	93.18
-0.07	93.55
-0.03	205.19
0.09	224.01
0.06	229.73
0.09	253.53
0.08	254.27
-0.04	255.56
0.04	268.66
0.05	270.51
-0.04	324.94
-0.09	46.48
-0.15	77.27
-0.09	89.26
-0.04	206.00
0.07	227.40
0.13	234.96
0.04	237.91
0.08	271.66
0.04	5.53
0.04	19.36
0.04	23.79
0.04	28.22
-0.14	50.16
-0.09	71.56
-0.16	103.09
0.10	217.25
0.07	233.30
0.04	244.36
-0.04	255.61
0.08	274.61
0.04	24.17
-0.09	41.15
-0.08	65.69
-0.06	78.97
-0.04	206.66
0.05	242.09
0.06	256.48
-0.04	265.16
-0.10	51.27
-0.07	66.39
-0.08	74.32
-0.04	202.32
0.04	206.74
0.07	244.73
0.07	254.32
0.04	256.35
-0.04	265.20
-0.04	269.08
0.04	278.67
-0.19	58.65
-0.14	79.49
-0.08	81.52
0.04	152.89
0.06	229.43
0.08	233.30
0.04	245.84
0.05	260.78
0.04	33.77
-0.11	62.18
-0.10	83.22
-0.13	92.08
0.05	211.46
0.11	230.28
-0.04	257.04
-0.04	266.08
0.06	269.03
0.06	283.61
-0.19	45.21
0.04	52.40
-0.07	65.14
-0.07	101.12
0.04	215.15
0.04	238.03
0.04	250.95
0.05	259.25
-0.04	262.02
0.06	277.70
-0.09	53.11
-0.11	56.80
-0.07	60.49
-0.06	86.31
0.04	223.71
0.04	245.84
0.05	296.74
0.04	21.02
-0.10	39.47
-0.13	47.40
-0.24	113.24
-0.04	199.18
-0.04	203.79
0.07	212.27
0.04	232.93
0.06	233.30
0.04	258.38
0.04	30.63
-0.07	36.17
-0.07	57.57
0.04	57.94
-0.16	73.99
-0.08	84.33
0.06	224.75
0.09	236.74
0.04	251.69
0.04	269.40
-0.25	56.99
0.04	62.34
-0.21	109.73
-0.03	195.31
-0.04	204.34
0.08	215.23
0.11	246.76
0.04	259.86
0.10	280.14
0.04	22.33
0.04	26.76
0.04	31.37
-0.10	35.80
-0.18	55.54
-0.12	83.96
-0.04	88.20
-0.23	121.60
0.03	195.78
-0.04	204.82
0.06	214.78
0.06	225.30
0.06	243.75
0.04	245.41
0.04	254.64
0.09	269.95
0.03	18.07
0.04	22.50
0.04	27.11
0.03	31.54
-0.16	45.92
0.04	49.24
-0.04	54.59
-0.07	85.02
-0.07	94.80
-0.04	204.90
0.04	209.32
0.05	223.34
0.06	229.80
0.06	250.64
0.08	261.33
0.04	265.94
-0.13	45.37
-0.13	69.34
-0.04	200.66
-0.04	205.08
0.04	226.66
0.08	260.78
0.04	18.64
0.04	23.07
0.04	32.11
-0.11	46.50
-0.05	61.08
0.04	89.31
-0.31	93.37
0.13	219.21
0.04	244.49
0.05	251.50
0.04	259.99
0.07	268.48
0.06	288.22
0.04	18.81
0.04	23.42
-0.05	45.74
-0.13	58.09
-0.12	78.38
-0.04	205.64
0.06	227.58
0.06	237.36
0.11	244.55
0.04	256.17
0.04	275.35
0.04	23.80
-0.05	44.65
-0.06	58.86
-0.08	66.24
0.04	232.13
0.04	241.17
0.06	255.93
0.04	271.43
-0.12	53.67
-0.05	64.92
-0.05	67.13
-0.04	109.00
-0.04	206.37
0.07	231.27
0.05	249.90
0.04	19.93
-0.05	51.11
0.04	55.91
-0.12	70.49
-0.17	79.90
-0.04	89.86
-0.04	202.42
-0.04	206.85
0.07	226.22
0.04	234.89
0.07	246.15
0.05	258.14
0.04	11.07
0.03	20.10
-0.04	28.95
0.04	55.51
0.04	64.73
-0.17	73.22
-0.04	206.93
0.05	226.66
0.05	240.31
0.12	269.82
0.04	278.67
0.04	20.29
0.04	24.90
-0.07	37.44
-0.15	53.67
0.04	60.86
-0.04	68.98
-0.08	69.53
-0.04	116.00
-0.03	198.07
-0.04	202.68
0.07	226.29
0.04	240.49
0.11	246.21
0.07	281.25
0.04	29.71
-0.07	59.78
-0.19	79.34
-0.05	109.79
-0.04	203.16
0.06	226.22
0.07	231.57
0.08	243.20
0.04	25.45
-0.07	56.80
-0.05	67.50
-0.04	67.68
-0.12	87.05
-0.05	104.94
-0.04	203.24
0.05	215.23
0.05	229.61
0.04	237.17
0.04	253.40
0.05	255.25
0.06	264.10
-0.06	39.67
-0.13	61.63
-0.05	70.86
-0.11	78.24
0.04	88.39
0.06	93.00
-0.13	104.62
0.04	199.28
-0.04	203.71
0.13	221.42
0.09	246.52
0.08	247.07
0.04	21.58
0.04	26.00
0.03	30.43
-0.13	53.48
-0.18	84.84
0.05	222.05
0.04	225.55
0.08	262.99
0.04	269.45
0.04	21.96
0.04	26.39
-0.07	39.67
-0.05	51.11
-0.09	61.26
0.04	85.06
0.06	228.44
0.09	248.18
0.06	278.81
0.08	282.13
0.04	26.56
-0.15	38.73
-0.12	74.88
-0.19	75.43
-0.04	145.70
0.06	229.98
0.05	257.83
